,Name,Country,Address,Sector,Owner_operator,Solar thermal engineering company,Integrator company,Year,Collector technology,Collector name,Gross area,Total aperture area,Thermal power,heat transfer fluid,Energy storage,Storage volume,Conventional heat source,Fuel used,Use,Unit operation,Point of integration,Temperature range process,Temperature range solar loop (min/max),Total investment costs,Subsidy,System life time,Specific investment costs,Solar fraction,Contact,E-mail,Homepage,Sector grouped
315,Winery Grombalia,Tunisia,Grombalia,C11 - Manufacture of beverages,Winery in Grombalia (MEDISCO Project),industrial solar gmbh,pse ag,2008-01-01,fresnel collector,,120.0,,84.0,,,1.0,,,solar cooling by feeding an amoniawater absorption chiller,Cooling processes,C) Other integration points,- 10->7,110/160,1.0,No subsidies,0,0.01,,Industrial Solar/ Mirroxx,info@industrial-solar.de,,C11 - Manufacture of beverages
316,"Woltow, Parabolic trough power plant for a fish farm",Germany,17179 Walkendorf,"A - Agriculture, forestry and fishing",NEN GmbH,solarlite csp technology gmbh,solarlite csp technology gmbh,2008-01-01,parabolic trough collector,SL2300,440.0,,220.0,water,no solar energy storage,,steam boiler,biomass,water heating,other process heating,A1) Heating of make-up water,,,200000.0,nearly 50%,,454.55,,,Catrin Gaede,info@solarlite.de,"A - Agriculture, forestry and fishing"
317,Xstrata Elands Mine,South Africa,"Zilkaats Estate,Südafrika",B - Mining and quarrying,Xstrata Elands Platinum,genergy,genergy,2011-01-01,evacuated tube collector,,504.0,,352.8,Water/glycol,Short-term water storage,60.0,Other,Other,"mining facility, laundry, shower",Cleaning,B1) Heating of process(es) / process vessel(s),60,,1.0,No information on subsidy,,0.0,,Genergy,info@genergy.co.za,http://genergy.co.za/,B - Mining and quarrying
318,Zacatecas Termosolar Drying plant - Air Collectors,México,"Carretera Zacatecas - Fresnillo KILOMETRO 21.5, 98050, FRESNILLO, ZACATECAS",C10.3 - Processing and preserving of fruit and vegetables,Secampo Zacatecas,modulo solar,modulo solar,2017-01-01,air collector,MS 2.5 AIR,120.0,110.0,84.0,air,No Solar Energy Storage,,Other,Natural gas,dehydrate of agricultural products (chile),drying,B1) Heating of process(es) / process vessel(s),55-120,55-130,24000.0,50,25,200.0,70,,,,C10 - Manufacture of food products
319,Zacatecas Termosolar Drying plant - Flate Plate,México,"Carretera Zacatecas - Fresnillo KILOMETRO 21.5, 98050, FRESNILLO, ZACATECAS","A - Agriculture, forestry and fishing",Secampo Zacatecas,modulo solar,modulo solar,2017-01-01,flat plate collector,MS 2.5 BLUE,125.0,113.0,87.0,Water/Glycol,Short-term water storage,12.0,Hot water boiler,Fuel oil,dehydrate agricultural products (chile),drying,A2b) Heating of supply line,70-85,50-85,30370.0,50,,242.96,75,,,,"A - Agriculture, forestry and fishing"
320,AGROLIBANO,Honduras,"San Lorenzo, San Lorenzo, Honduras",C10.3 - Processing and preserving of fruit and vegetables,AGROLIBANO,modulo solar,modulo solar,2019-01-01,flat plate collector,MS 2.5 BLUE,44.0,40.0,30.8,Water,Short-term water storage,2.0,hot water boiler,natural gas,preheat,sterilization,A1) Heating of make-up water,60-70°C,50-80 °C,18000.0,No subsidies,25,409.09,40,MODULO SOLAR,generalsolar@modulosolar.com.mx,www.modulosolar.com.mx,C10 - Manufacture of food products
321,Diversey Tlaneplantla,Mexico,"Calle Henry Ford 12, Industrial San Nicolas CP 54030, Tlalnepantla de Baz, ESTADO DE MEXICO",C20 - Manufacture of chemicals and chemical products,DIVERSEY,modulo solar,modulo solar,2019-01-01,unglazed collector,Ecosun,335.0,301.0,234.5,water,Short-term water storage,15.0,hot water boiler,natural gas,cleaning,cleaning,B1) Heating of process(es) / process vessel(s),40-47,35-50,37600.0,No subsidies,20,112.24,65,MODULO SOLAR,generalsolar@modulosolar.com.mx,www.modulosolar.com.mx,C20 - Manufacture of chemicals and chemical products
322,"KEMET Electronics Portugal, S.A.",Portugal,"Rua Werner Von Siemens, 1, Évora, 7005-639 ÉVORA",C27 - Manufacture of electrical equipment,"KEMET Electronics Portugal, S.A.",mcg solar,project ship (inegi + university of évora + kemet + mcg solar + oncontrol),2019-01-01,various collector,QS-CPC MCG,276.0,185.0,104.0,thermo-oil,other,1.0,other,other,electrolyte preparation,general process heating,B1) Heating of process(es) / process vessel(s),40-180,60-180,222442.0,0.66,,805.95,,,,,C27 - Manufacture of electrical equipment
323,BOCAR GROUP,Mexico,"Circuito de la Industria Norte 6 Parque Industrial Lerma C.P. 52000 , Estado de México","C29 - Manufacture of motor vehicles, trailers and semi-trailers",BOCAR GROUP,modulo solar,modulo solar,2019-01-01,flat plate collector,MS 2.5 BLUE,130.0,117.0,91.0,water,Short-term water storage,7.0,hot water boiler,natural gas,preheat,general process heating,A1) Heating of make-up water,50-70,45-75,45000.0,No subsidies,25,350.0,70,MODULO SOLAR,generalsolar@modulosolar.com.mx,www.modulosolar.com.mx,"C29 - Manufacture of motor vehicles, trailers and semi-trailers"
324,Zehnder Group AG,Switzerland,"Gränichen, Aargau",C28 - Manufacture of machinery and equipment n.e.c.,Zehnder Group AG,ritter xl solar,ritter xl solar,2012-01-01,evacuated tube collector,,395.2,360.0,276.64,Water,Short-term water storage,,Hot water boiler,Other,heating of the pretreatment washbasins of the coating device,Surface treatment,A2b) Heating of supply line,,90 out of collector,1.0,Subsidies of the Swiss Federal Office for Energy,,0.0,,Ritter XL Solar,m.willige@ritter-xl-solar.com,http://www.ritter-xl-solar.com/en/references/industry-and-business/zehnder-group-ch/,C28 - Manufacture of machinery and equipment n.e.c.
325,,,,nan,,nan,nan,,nan,,,,,,,,,,nan,,,,,,,,,,,,,nan
326,,,,nan,,nan,nan,,nan,,,,,,,,,,nan,,,,,,,,,,,,,nan
327,,,,nan,,nan,nan,,nan,,,,,,,,,,nan,,,,,,,,,,,,,nan
328,,,,nan,,nan,nan,,nan,,,,,,,,,,nan,,,,,,,,,,,,,nan
